puma,access_households_count,access_households_count_moe,access_households_count_cv,access_households_pct,access_households_pct_moe,access_computer_count,access_computer_count_moe,access_computer_count_cv,access_computer_pct,access_computer_pct_moe,access_broadband_count,access_broadband_count_moe,access_broadband_count_cv,access_broadband_pct,access_broadband_pct_moe,access_households_anh_count,access_households_anh_count_moe,access_households_anh_count_cv,access_households_anh_pct,access_households_anh_pct_moe,access_households_bnh_count,access_households_bnh_count_moe,access_households_bnh_count_cv,access_households_bnh_pct,access_households_bnh_pct_moe,access_households_hsp_count,access_households_hsp_count_moe,access_households_hsp_count_cv,access_households_hsp_pct,access_households_hsp_pct_moe,access_households_wnh_count,access_households_wnh_count_moe,access_households_wnh_count_cv,access_households_wnh_pct,access_households_wnh_pct_moe,access_computer_anh_count,access_computer_anh_count_moe,access_computer_anh_count_cv,access_computer_anh_pct,access_computer_anh_pct_moe,access_computer_bnh_count,access_computer_bnh_count_moe,access_computer_bnh_count_cv,access_computer_bnh_pct,access_computer_bnh_pct_moe,access_computer_hsp_count,access_computer_hsp_count_moe,access_computer_hsp_count_cv,access_computer_hsp_pct,access_computer_hsp_pct_moe,access_computer_wnh_count,access_computer_wnh_count_moe,access_computer_wnh_count_cv,access_computer_wnh_pct,access_computer_wnh_pct_moe,access_broadband_anh_count,access_broadband_anh_count_moe,access_broadband_anh_count_cv,access_broadband_anh_pct,access_broadband_anh_pct_moe,access_broadband_bnh_count,access_broadband_bnh_count_moe,access_broadband_bnh_count_cv,access_broadband_bnh_pct,access_broadband_bnh_pct_moe,access_broadband_hsp_count,access_broadband_hsp_count_moe,access_broadband_hsp_count_cv,access_broadband_hsp_pct,access_broadband_hsp_pct_moe,access_broadband_wnh_count,access_broadband_wnh_count_moe,access_broadband_wnh_count_cv,access_broadband_wnh_pct,access_broadband_wnh_pct_moe
04018,45962,554,0.7,100,,30918,984,1.9,67.3,2.0,29848,910,1.9,64.9,1.8,4589,469,6.2,100,,4838,596,7.5,100,,5507,640,7.1,100,,29903,886,1.8,100,,3620,458,7.7,78.9,5.9,2931,521,10.8,60.6,7.7,3315,459,8.4,60.2,4.5,20350,993,3.0,68.1,2.6,3615,474,8.0,78.8,6.4,2669,546,12.4,55.2,9.0,3428,487,8.6,62.2,5.1,19286,864,2.7,64.5,2.2
04101,71009,1022,0.9,100,,57049,1268,1.4,80.3,1.4,54781,1177,1.3,77.1,1.2,9800,744,4.6,100,,4554,475,6.3,100,,15327,716,2.8,100,,39652,1079,1.7,100,,8481,659,4.7,86.5,1.4,2885,379,8.0,63.4,5.0,10916,723,4.0,71.2,3.3,33250,1069,2.0,83.9,1.4,8089,657,4.9,82.5,2.4,2799,417,9.1,61.5,6.5,10552,741,4.3,68.8,3.6,31896,1011,1.9,80.4,1.3
04102,52441,802,0.9,100,,37170,1148,1.9,70.9,1.9,37274,1137,1.9,71.1,1.9,9309,650,4.2,100,,3312,402,7.4,100,,31016,1112,2.2,100,,8139,616,4.6,100,,6768,632,5.7,72.7,4.5,2375,356,9.1,71.7,6.3,20982,1160,3.4,67.6,2.8,6572,535,4.9,80.7,2.4,6615,557,5.1,71.1,3.3,2295,367,9.7,69.3,7.2,21754,1242,3.5,70.1,3.1,6056,526,5.3,74.4,3.2
04103,86782,858,0.6,100,,61239,1477,1.5,70.6,1.6,51669,1287,1.5,59.5,1.4,43983,1135,1.6,100,,1643,297,11.0,100,,12790,1012,4.8,100,,26860,990,2.2,100,,30516,1340,2.7,69.4,2.5,987,240,14.8,60.1,9.8,9017,967,6.5,70.5,5.1,19512,869,2.7,72.6,1.8,24172,1219,3.1,55.0,2.4,919,241,15.9,55.9,10.6,7329,820,6.8,57.3,4.5,18126,834,2.8,67.5,1.9
04104,43388,453,0.6,100,,36638,802,1.3,84.4,1.6,33867,814,1.5,78.1,1.7,16531,585,2.1,100,,1073,252,14.3,100,,4284,548,7.8,100,,20763,723,2.1,100,,14855,627,2.6,89.9,2.1,956,244,15.5,89.1,8.9,3610,557,9.4,84.3,7.3,16613,700,2.6,80.0,1.9,13816,646,2.8,83.6,2.6,742,241,19.8,69.2,15.6,3369,544,9.8,78.6,7.8,15344,734,2.9,73.9,2.4
04105,61092,676,0.7,100,,50146,807,1.0,82.1,1.0,43562,923,1.3,71.3,1.3,8302,524,3.8,100,,32613,962,1.8,100,,6663,574,5.2,100,,9986,691,4.2,100,,7499,493,4.0,90.3,1.7,26654,964,2.2,81.7,1.7,5785,607,6.4,86.8,5.2,7242,682,5.7,72.5,4.6,6837,490,4.4,82.4,2.8,21798,964,2.7,66.8,2.2,5300,539,6.2,79.5,4.3,6997,680,5.9,70.1,4.8
04106,55492,522,0.6,100,,46036,938,1.2,83.0,1.5,41627,1074,1.6,75.0,1.8,16253,1035,3.9,100,,8194,840,6.2,100,,10601,985,5.7,100,,17813,858,2.9,100,,14140,997,4.3,87.0,2.6,6721,807,7.3,82.0,5.1,8456,915,6.6,79.8,4.4,14693,864,3.6,82.5,2.8,12751,939,4.5,78.5,2.9,6131,702,7.0,74.8,3.8,7320,777,6.5,69.1,3.5,13570,868,3.9,76.2,3.2
04107,42764,666,0.9,100,,30644,1042,2.1,71.7,2.2,27639,999,2.2,64.6,2.1,14427,870,3.7,100,,2797,490,10.7,100,,20913,923,2.7,100,,3695,517,8.5,100,,11969,733,3.7,83.0,0.9,2071,432,12.7,74.0,8.4,13404,967,4.4,64.1,3.7,2477,412,10.1,67.0,6.1,10755,725,4.1,74.5,2.2,1591,384,14.7,56.9,9.4,12374,956,4.7,59.2,3.8,2283,414,11.0,61.8,7.1
04108,51831,584,0.7,100,,43028,892,1.3,83.0,1.4,39250,992,1.5,75.7,1.7,14161,839,3.6,100,,1500,347,14.1,100,,7226,691,5.8,100,,27409,886,2.0,100,,12923,779,3.7,91.3,1.0,1311,323,15.0,87.4,7.3,5922,632,6.5,82.0,3.9,21540,1061,3.0,78.6,2.9,11596,827,4.3,81.9,3.3,1166,318,16.6,77.7,11.2,5443,607,6.8,75.3,4.3,19836,982,3.0,72.4,2.7
04109,53751,803,0.9,100,,40674,1021,1.5,75.7,1.5,42063,983,1.4,78.3,1.4,16521,810,3.0,100,,1089,275,15.3,100,,14950,980,4.0,100,,19920,1025,3.1,100,,12559,863,4.2,76.0,3.7,945,276,17.8,86.8,12.8,10001,802,4.9,66.9,3.1,16171,903,3.4,81.2,1.8,12955,827,3.9,78.4,3.2,994,257,15.7,91.3,5.1,11145,819,4.5,74.5,2.5,15954,957,3.6,80.1,2.5
04110,62374,639,0.6,100,,49306,1045,1.3,79.0,1.5,47315,1016,1.3,75.9,1.4,4625,423,5.6,100,,922,229,15.1,100,,19167,915,2.9,100,,36868,887,1.5,100,,4233,425,6.1,91.5,3.7,824,204,15.0,89.4,31.3,14940,847,3.4,77.9,2.4,28721,821,1.7,77.9,1.2,4084,406,6.0,88.3,3.4,739,217,17.8,80.2,12.5,14357,903,3.8,74.9,3.1,27575,846,1.9,74.8,1.4
