puma,units_eli_newconstruction_count,units_eli_preservation_count,units_vli_newconstruction_count,units_vli_preservation_count,units_li_newconstruction_count,units_li_preservation_count,units_mi_newconstruction_count,units_mi_preservation_count,units_midi_newconstruction_count,units_midi_preservation_count,units_oi_newconstruction_count,units_oi_preservation_count,units_allami_preservation_count,units_allami_newconstruction_count
04008,613.0,63.0,484.0,4001.0,1290.0,2697.0,110.0,114.0,80.0,0.0,15.0,6.0,6881.0,2592.0
04009,0.0,0.0,0.0,1.0,0.0,29.0,0.0,11.0,2.0,0.0,0.0,1.0,42.0,2.0
04010,8.0,50.0,12.0,56.0,74.0,426.0,0.0,0.0,369.0,0.0,1.0,3.0,535.0,464.0
04011,232.0,34.0,50.0,280.0,329.0,359.0,0.0,44.0,400.0,6.0,2.0,4.0,727.0,1013.0
04012,83.0,519.0,0.0,48.0,29.0,23.0,0.0,18.0,17.0,1.0,1.0,7.0,616.0,130.0
04013,0.0,,0.0,,0.0,,0.0,,5.0,,0.0,,0.0,5.0
04014,0.0,,0.0,,0.0,,36.0,,16.0,,0.0,,0.0,52.0
04015,256.0,9.0,35.0,72.0,58.0,287.0,63.0,90.0,341.0,0.0,4.0,2.0,460.0,757.0
04016,0.0,896.0,0.0,0.0,0.0,73.0,0.0,0.0,93.0,0.0,0.0,2.0,971.0,93.0
04017,0.0,118.0,0.0,243.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,364.0,107.0
04018,244.0,505.0,111.0,8.0,616.0,1135.0,38.0,37.0,69.0,259.0,4.0,8.0,1952.0,1082.0
04101,102.0,348.0,0.0,58.0,145.0,49.0,9.0,72.0,204.0,0.0,1.0,1.0,528.0,461.0
04102,0.0,38.0,0.0,40.0,0.0,50.0,2.0,2.0,8.0,0.0,0.0,2.0,132.0,10.0
04103,0.0,0.0,66.0,0.0,105.0,2.0,60.0,51.0,40.0,0.0,1.0,1.0,54.0,272.0
04104,0.0,,0.0,,30.0,,0.0,,0.0,,0.0,,0.0,30.0
04105,,0.0,,0.0,,24.0,,1.0,,0.0,,0.0,25.0,0.0
04106,75.0,6.0,0.0,2123.0,351.0,81.0,21.0,2.0,23.0,0.0,1.0,1.0,2213.0,471.0
04107,67.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,302.0,80.0
04108,25.0,287.0,52.0,122.0,51.0,21.0,130.0,0.0,0.0,0.0,1.0,0.0,430.0,259.0
04109,66.0,0.0,284.0,393.0,335.0,585.0,292.0,0.0,1037.0,0.0,3.0,0.0,978.0,2017.0
04110,40.0,0.0,0.0,14.0,26.0,15.0,0.0,42.0,68.0,0.0,0.0,1.0,72.0,134.0
04111,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,45.0
04112,264.0,346.0,310.0,5368.0,872.0,669.0,499.0,12.0,611.0,0.0,12.0,3.0,6398.0,2568.0
04113,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,3.0
04114,434.0,148.0,444.0,1062.0,681.0,1652.0,50.0,8.0,18.0,400.0,8.0,5.0,3275.0,1635.0
