puma,pop_count,pop_pct,pop_anh_count,pop_anh_pct,pop_bnh_count,pop_bnh_pct,pop_hsp_count,pop_hsp_pct,pop_onh_count,pop_onh_pct,pop_wnh_count,pop_wnh_pct,nycha_tenants_count,nycha_tenants_pct,nycha_tenants_anh_count,nycha_tenants_anh_pct,nycha_tenants_bnh_count,nycha_tenants_bnh_pct,nycha_tenants_hsp_count,nycha_tenants_hsp_pct,nycha_tenants_onh_count,nycha_tenants_onh_pct,nycha_tenants_wnh_count,nycha_tenants_wnh_pct
03902,141686,100,25934,18.3,4953,3.5,20420,14.4,3925,2.8,86454,61.0,2800.0,1.98,38.0,0.15,1228.0,24.79,947.0,4.64,39.0,0.99,548.0,0.63
03903,189663,100,20632,10.9,40093,21.1,58955,31.1,7423,3.9,62560,33.0,6630.0,3.5,269.0,1.3,3171.0,7.91,2388.0,4.05,60.0,0.81,742.0,1.19
04001,176207,100,12903,7.3,7656,4.3,36888,20.9,8727,5.0,110033,62.4,7359.0,4.18,84.0,0.65,2139.0,27.94,3137.0,8.5,319.0,3.66,1680.0,1.53
04002,136869,100,8034,5.9,21135,15.4,69634,50.9,6315,4.6,31751,23.2,8940.0,6.53,97.0,1.21,2752.0,13.02,5699.0,8.18,182.0,2.88,210.0,0.66
04003,153236,100,6157,4.0,61841,40.4,29038,18.9,9529,6.2,46671,30.5,16991.0,11.09,448.0,7.28,8536.0,13.8,7273.0,25.05,233.0,2.45,501.0,1.07
04004,152369,100,18185,11.9,30774,20.2,21211,13.9,9945,6.5,72254,47.4,15248.0,10.01,2033.0,11.18,7638.0,24.82,5005.0,23.6,129.0,1.3,443.0,0.61
04005,115390,100,8740,7.6,8153,7.1,17893,15.5,7712,6.7,72892,63.2,5716.0,4.95,351.0,4.02,2569.0,31.51,2502.0,13.98,67.0,0.87,227.0,0.31
04006,137748,100,6606,4.8,65920,47.9,17967,13.0,9761,7.1,37494,27.2,8646.0,6.28,205.0,3.1,6106.0,9.26,1962.0,10.92,136.0,1.39,237.0,0.63
04007,134109,100,1739,1.3,89395,66.7,30681,22.9,8079,6.0,4215,3.1,21017.0,15.67,323.0,18.57,13420.0,15.01,6503.0,21.2,268.0,3.32,503.0,11.93
04008,169668,100,14441,8.5,72795,42.9,65370,38.5,11347,6.7,5715,3.4,13864.0,8.17,134.0,0.93,8609.0,11.83,4575.0,7.0,168.0,1.48,378.0,6.61
04009,204005,100,10502,5.1,120905,59.3,17763,8.7,11800,5.8,43035,21.1,9265.0,4.54,43.0,0.41,6758.0,5.59,1990.0,11.2,105.0,0.89,369.0,0.86
04010,143132,100,2659,1.9,112665,78.7,11625,8.1,11636,8.1,4547,3.2,257.0,0.18,1.0,0.04,203.0,0.18,41.0,0.35,4.0,0.03,8.0,0.18
04011,110492,100,2942,2.7,60875,55.1,11363,10.3,8037,7.3,27275,24.7,325.0,0.29,6.0,0.2,254.0,0.42,55.0,0.48,1.0,0.01,9.0,0.03
04012,155282,100,55407,35.7,4631,3.0,57337,36.9,4674,3.0,33233,21.4,,,,,,,,,,,,
04013,133143,100,34879,26.2,2299,1.7,22843,17.2,4516,3.4,68606,51.5,,,,,,,,,,,,
04014,176543,100,29237,16.6,3973,2.3,18727,10.6,10812,6.1,113794,64.5,,,,,,,,,,,,
04015,162557,100,21196,13.0,44568,27.4,23786,14.6,10172,6.3,62835,38.7,,,,,,,,,,,,
04016,156693,100,30486,19.5,6557,4.2,13910,8.9,6751,4.3,98989,63.2,4567.0,2.91,402.0,1.32,2422.0,36.94,1169.0,8.4,51.0,0.76,523.0,0.53
04017,198527,100,86294,43.5,2362,1.2,31338,15.8,6430,3.2,72103,36.3,,,,,,,,,,,,
04018,120104,100,20369,17.0,13192,11.0,19052,15.9,4506,3.8,62985,52.4,12090.0,10.07,1536.0,7.54,5281.0,40.03,3439.0,18.05,100.0,2.22,1734.0,2.75
04101,186153,100,27594,14.8,12923,6.9,47189,25.3,10525,5.7,87922,47.2,15860.0,8.52,1345.0,4.87,7082.0,54.8,6390.0,13.54,173.0,1.64,870.0,0.99
04102,189960,100,35354,18.6,8450,4.4,123319,64.9,5068,2.7,17769,9.4,,,,,,,,,,,,
04103,270930,100,155516,57.4,5431,2.0,48989,18.1,5087,1.9,55907,20.6,1704.0,0.63,318.0,0.2,599.0,11.03,657.0,1.34,28.0,0.55,102.0,0.18
04104,122328,100,59961,49.0,2645,2.2,14532,11.9,3150,2.6,42040,34.4,,,,,,,,,,,,
04105,199556,100,36304,18.2,104052,52.1,24877,12.5,16173,8.1,18150,9.1,47.0,0.02,0.0,0.0,36.0,0.03,10.0,0.04,0.0,0.0,1.0,0.01
04106,164781,100,60943,37.0,19734,12.0,30407,18.5,9331,5.7,44366,26.9,4128.0,2.51,324.0,0.53,2035.0,10.31,1231.0,4.05,47.0,0.5,491.0,1.11
04107,153099,100,53298,34.8,7387,4.8,80816,52.8,3500,2.3,8098,5.3,,,,,,,,,,,,
04108,119706,100,37141,31.0,3442,2.9,19594,16.4,6950,5.8,52579,43.9,,,,,,,,,,,,
04109,162153,100,62997,38.9,4515,2.8,45635,28.1,6180,3.8,42826,26.4,,,,,,,,,,,,
04110,179263,100,19321,10.8,3932,2.2,64516,36.0,5222,2.9,86272,48.1,,,,,,,,,,,,
04111,151876,100,38163,25.1,10158,6.7,63532,41.8,17037,11.2,22986,15.1,,,,,,,,,,,,
04112,251096,100,37961,15.1,135797,54.1,45184,18.0,27667,11.0,4487,1.8,3796.0,1.51,214.0,0.56,2488.0,1.83,872.0,1.93,76.0,0.27,146.0,3.25
04113,130378,100,28477,21.8,18037,13.8,30678,23.5,27419,21.0,25767,19.8,17.0,0.01,0.0,0.0,17.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
04114,124185,100,3553,2.9,44872,36.1,28593,23.0,6978,5.6,40189,32.4,9568.0,7.7,246.0,6.92,5181.0,11.55,3276.0,11.46,546.0,7.82,319.0,0.79
