puma,households_grapi_0812_count,households_grapi_0812_count_moe,households_grapi_0812_count_cv,households_grapi_0812_pct,households_grapi_0812_pct_moe,households_rb_0812_count,households_rb_0812_count_moe,households_rb_0812_count_cv,households_rb_0812_pct,households_rb_0812_pct_moe,households_erb_0812_count,households_erb_0812_count_moe,households_erb_0812_count_cv,households_erb_0812_pct,households_erb_0812_pct_moe,households_grapi_0812_wnh_count,households_grapi_0812_wnh_count_moe,households_grapi_0812_wnh_count_cv,households_grapi_0812_wnh_pct,households_grapi_0812_wnh_pct_moe,households_rb_0812_wnh_count,households_rb_0812_wnh_count_moe,households_rb_0812_wnh_count_cv,households_rb_0812_wnh_pct,households_rb_0812_wnh_pct_moe,households_erb_0812_wnh_count,households_erb_0812_wnh_count_moe,households_erb_0812_wnh_count_cv,households_erb_0812_wnh_pct,households_erb_0812_wnh_pct_moe,households_grapi_0812_bnh_count,households_grapi_0812_bnh_count_moe,households_grapi_0812_bnh_count_cv,households_grapi_0812_bnh_pct,households_grapi_0812_bnh_pct_moe,households_rb_0812_bnh_count,households_rb_0812_bnh_count_moe,households_rb_0812_bnh_count_cv,households_rb_0812_bnh_pct,households_rb_0812_bnh_pct_moe,households_erb_0812_bnh_count,households_erb_0812_bnh_count_moe,households_erb_0812_bnh_count_cv,households_erb_0812_bnh_pct,households_erb_0812_bnh_pct_moe,households_grapi_0812_hsp_count,households_grapi_0812_hsp_count_moe,households_grapi_0812_hsp_count_cv,households_grapi_0812_hsp_pct,households_grapi_0812_hsp_pct_moe,households_rb_0812_hsp_count,households_rb_0812_hsp_count_moe,households_rb_0812_hsp_count_cv,households_rb_0812_hsp_pct,households_rb_0812_hsp_pct_moe,households_erb_0812_hsp_count,households_erb_0812_hsp_count_moe,households_erb_0812_hsp_count_cv,households_erb_0812_hsp_pct,households_erb_0812_hsp_pct_moe,households_grapi_0812_anh_count,households_grapi_0812_anh_count_moe,households_grapi_0812_anh_count_cv,households_grapi_0812_anh_pct,households_grapi_0812_anh_pct_moe,households_rb_0812_anh_count,households_rb_0812_anh_count_moe,households_rb_0812_anh_count_cv,households_rb_0812_anh_pct,households_rb_0812_anh_pct_moe,households_erb_0812_anh_count,households_erb_0812_anh_count_moe,households_erb_0812_anh_count_cv,households_erb_0812_anh_pct,households_erb_0812_anh_pct_moe,households_grapi_1519_count,households_grapi_1519_count_moe,households_grapi_1519_count_cv,households_grapi_1519_pct,households_grapi_1519_pct_moe,households_rb_1519_count,households_rb_1519_count_moe,households_rb_1519_count_cv,households_rb_1519_pct,households_rb_1519_pct_moe,households_erb_1519_count,households_erb_1519_count_moe,households_erb_1519_count_cv,households_erb_1519_pct,households_erb_1519_pct_moe,households_grapi_1519_wnh_count,households_grapi_1519_wnh_count_moe,households_grapi_1519_wnh_count_cv,households_grapi_1519_wnh_pct,households_grapi_1519_wnh_pct_moe,households_rb_1519_wnh_count,households_rb_1519_wnh_count_moe,households_rb_1519_wnh_count_cv,households_rb_1519_wnh_pct,households_rb_1519_wnh_pct_moe,households_erb_1519_wnh_count,households_erb_1519_wnh_count_moe,households_erb_1519_wnh_count_cv,households_erb_1519_wnh_pct,households_erb_1519_wnh_pct_moe,households_grapi_1519_bnh_count,households_grapi_1519_bnh_count_moe,households_grapi_1519_bnh_count_cv,households_grapi_1519_bnh_pct,households_grapi_1519_bnh_pct_moe,households_rb_1519_bnh_count,households_rb_1519_bnh_count_moe,households_rb_1519_bnh_count_cv,households_rb_1519_bnh_pct,households_rb_1519_bnh_pct_moe,households_erb_1519_bnh_count,households_erb_1519_bnh_count_moe,households_erb_1519_bnh_count_cv,households_erb_1519_bnh_pct,households_erb_1519_bnh_pct_moe,households_grapi_1519_hsp_count,households_grapi_1519_hsp_count_moe,households_grapi_1519_hsp_count_cv,households_grapi_1519_hsp_pct,households_grapi_1519_hsp_pct_moe,households_rb_1519_hsp_count,households_rb_1519_hsp_count_moe,households_rb_1519_hsp_count_cv,households_rb_1519_hsp_pct,households_rb_1519_hsp_pct_moe,households_erb_1519_hsp_count,households_erb_1519_hsp_count_moe,households_erb_1519_hsp_count_cv,households_erb_1519_hsp_pct,households_erb_1519_hsp_pct_moe,households_grapi_1519_anh_count,households_grapi_1519_anh_count_moe,households_grapi_1519_anh_count_cv,households_grapi_1519_anh_pct,households_grapi_1519_anh_pct_moe,households_rb_1519_anh_count,households_rb_1519_anh_count_moe,households_rb_1519_anh_count_cv,households_rb_1519_anh_pct,households_rb_1519_anh_pct_moe,households_erb_1519_anh_count,households_erb_1519_anh_count_moe,households_erb_1519_anh_count_cv,households_erb_1519_anh_pct,households_erb_1519_anh_pct_moe
03801,64117,1030,1.0,100,,33639,1402,2.5,52.5,2.0,19241,1223,3.9,30.0,1.8,13477,834,3.8,100,,6091,701,7.0,45.2,4.4,3171,515,9.9,23.5,3.5,7022,715,6.2,100,,2900,534,11.2,41.3,6.3,1557,321.0,12.5,22.2,4.0,40639,1191,1.8,100,,23218,1284,3.4,57.1,2.7,13695,1095,4.9,33.7,2.5,1648,386,14.2,100,,827,326,24.0,50.2,15.9,436,226,31.4,26.5,12.2,67073,1330,1.2,100,,34653,1632,2.9,51.7,2.2,18236,1447,4.8,27.2,2.1,15388,915,3.6,100,,6777,761,6.8,44.0,4.2,3027,548,11.0,19.7,3.4,6035,809,8.1,100,,2902,655,13.7,48.1,8.7,1446,461,19.4,24.0,6.9,42306,1601,2.3,100,,23165,1368,3.6,54.8,2.5,12829,1229,5.8,30.3,2.7,2124,415,11.9,100,,1287,366,17.3,60.6,12.5,761,243,19.4,35.8,9.0
03802,37798,1063,1.7,100,,20736,1205,3.5,54.9,2.8,11737,907,4.7,31.1,2.2,9550,730,4.6,100,,4833,579,7.3,50.6,4.7,2701,474,10.7,28.3,4.5,10426,687,4.0,100,,5571,685,7.5,53.4,5.5,3060,554.0,11.0,29.3,4.9,14525,833,3.5,100,,8680,821,5.8,59.8,4.5,5188,714,8.4,35.7,4.5,2110,524,15.1,100,,1210,371,18.6,57.3,10.3,541,242,27.2,25.6,9.5,37002,1120,1.8,100,,19896,1234,3.8,53.8,2.9,10598,969,5.6,28.6,2.5,10657,746,4.3,100,,4970,639,7.8,46.6,5.0,2426,439,11.0,22.8,3.8,7885,843,6.5,100,,4118,689,10.2,52.2,6.7,1953,410,12.8,24.8,4.5,14625,1171,4.9,100,,8649,1096,7.7,59.1,5.8,5052,773,9.3,34.5,4.5,2568,478,11.3,100,,1516,318,12.8,59.0,5.8,845,250,18.0,32.9,7.6
03803,42864,1120,1.6,100,,21311,1240,3.5,49.7,2.6,10780,926,5.2,25.1,2.1,4562,550,7.3,100,,2202,363,10.0,48.3,5.4,866,217,15.3,19.0,4.2,28280,1181,2.5,100,,13409,1028,4.7,47.4,3.1,7021,847.0,7.3,24.8,2.8,7837,767,6.0,100,,4536,577,7.7,57.9,4.7,2291,422,11.2,29.2,4.6,890,220,15.0,100,,449,191,25.9,50.4,17.5,183,112,37.1,20.6,11.5,46741,1196,1.6,100,,22658,1261,3.4,48.5,2.4,10897,956,5.3,23.3,2.0,6676,579,5.3,100,,2340,451,11.7,35.1,6.0,972,293,18.3,14.6,4.2,26873,1259,2.8,100,,13370,1063,4.8,49.8,3.2,6940,823,7.2,25.8,2.8,10295,831,4.9,100,,5411,741,8.3,52.6,5.8,2260,609,16.4,22.0,5.6,1577,299,11.5,100,,683,256,22.8,43.3,14.0,367,178,29.5,23.3,10.4
03804,40631,686,1.0,100,,19590,1044,3.2,48.2,2.4,8637,787,5.5,21.3,1.9,5937,668,6.8,100,,2661,458,10.5,44.8,5.8,1573,353,13.6,26.5,5.1,11841,735,3.8,100,,5426,711,8.0,45.8,5.3,2400,515.0,13.0,20.3,4.2,19527,927,2.9,100,,10194,806,4.8,52.2,3.3,4072,551,8.2,20.9,2.6,2643,513,11.8,100,,1024,316,18.8,38.7,9.3,450,206,27.9,17.0,7.1,43427,1000,1.4,100,,21836,1216,3.4,50.3,2.6,10408,869,5.1,24.0,1.9,6693,572,5.2,100,,3078,488,9.6,46.0,6.1,1440,331,14.0,21.5,4.6,13596,999,4.5,100,,6905,822,7.2,50.8,4.8,3472,626,11.0,25.5,4.2,19442,921,2.9,100,,10112,1008,6.1,52.0,4.6,4805,759,9.6,24.7,3.7,3053,451,9.0,100,,1419,341,14.6,46.5,8.8,556,209,22.9,18.2,6.3
03805,74015,2157,1.8,100,,30153,1745,3.5,40.7,2.0,13859,1190,5.2,18.7,1.5,57266,1922,2.0,100,,22777,1610,4.3,39.8,2.5,10498,1132,6.6,18.3,1.9,2256,613,16.5,100,,1225,451,22.4,54.3,13.5,800,431.0,32.7,35.5,16.5,5736,876,9.3,100,,3313,680,12.5,57.8,7.9,1396,421,18.3,24.3,6.3,7449,883,7.2,100,,2464,480,11.8,33.1,5.1,1063,379,21.7,14.3,4.8,67863,2604,2.3,100,,28516,1941,4.1,42.0,2.4,12638,1221,5.9,18.6,1.7,50388,2307,2.8,100,,21012,1730,5.0,41.7,2.9,9293,1153,7.5,18.4,2.1,1647,454,16.8,100,,878,387,26.8,53.3,18.3,564,356,38.4,34.2,19.5,6700,974,8.8,100,,3273,750,13.9,48.9,8.6,1394,473,20.6,20.8,6.4,7606,1064,8.5,100,,2664,683,15.6,35.0,7.5,1161,404,21.2,15.3,4.9
03806,65492,1715,1.6,100,,26736,1378,3.1,40.8,1.8,13020,1345,6.3,19.9,2.0,44632,1866,2.5,100,,16811,1187,4.3,37.7,2.1,8508,924,6.6,19.1,1.9,5194,789,9.2,100,,2490,656,16.0,47.9,10.3,1157,500.0,26.2,22.3,9.0,8827,927,6.4,100,,4206,713,10.3,47.6,6.3,1670,460,16.7,18.9,4.8,5561,771,8.4,100,,2758,613,13.5,49.6,8.6,1454,559,23.4,26.1,9.4,59954,2095,2.1,100,,23215,1503,3.9,38.7,2.1,12618,1203,5.8,21.0,1.9,39699,1805,2.8,100,,13857,1284,5.6,34.9,2.8,7293,986,8.2,18.4,2.3,3850,600,9.5,100,,2324,534,14.0,60.4,10.2,1432,453,19.2,37.2,10.2,9729,1289,8.1,100,,4622,930,12.2,47.5,7.2,2481,684,16.7,25.5,6.2,5162,773,9.1,100,,1774,528,18.1,34.4,8.8,970,419,26.3,18.8,7.6
03807,59656,1580,1.6,100,,26444,1205,2.8,44.3,1.6,12325,1101,5.4,20.7,1.8,38615,1487,2.3,100,,16385,1026,3.8,42.4,2.1,7889,935,7.2,20.4,2.3,3627,483,8.1,100,,1944,414,12.9,53.6,8.9,864,266.0,18.7,23.8,6.6,8100,827,6.2,100,,4092,676,10.0,50.5,6.6,1751,460,16.0,21.6,5.2,7770,680,5.3,100,,3184,445,8.5,41.0,4.5,1216,299,14.9,15.6,3.6,67860,1617,1.4,100,,27081,1796,4.0,39.9,2.5,12306,1215,6.0,18.1,1.7,42302,1655,2.4,100,,15970,1429,5.4,37.8,3.0,6541,836,7.8,15.5,1.9,3626,764,12.8,100,,1877,555,18.0,51.8,10.7,1068,419,23.9,29.5,9.8,9801,1227,7.6,100,,4842,867,10.9,49.4,6.3,2579,601,14.2,26.3,5.2,10218,951,5.7,100,,3639,721,12.0,35.6,6.2,1735,513,18.0,17.0,4.8
03808,53886,1406,1.6,100,,21851,1406,3.9,40.6,2.4,10198,1052,6.3,18.9,1.9,40603,1544,2.3,100,,16131,1223,4.6,39.7,2.6,7750,915,7.2,19.1,2.1,1799,513,17.3,100,,1000,375,22.8,55.6,13.6,403,230.0,34.7,22.4,11.1,3743,698,11.3,100,,1484,431,17.7,39.6,8.8,843,357,25.7,22.5,8.6,6956,916,8.0,100,,2920,651,13.5,42.0,7.5,1037,401,23.5,14.9,5.4,50496,1710,2.1,100,,21543,1785,5.0,42.7,3.2,10788,1166,6.6,21.4,2.2,36128,1788,3.0,100,,15208,1649,6.6,42.1,4.1,6688,1000,9.1,18.5,2.6,2068,749,22.0,100,,646,468,44.0,31.2,19.6,385,366,57.8,18.6,16.4,4174,759,11.1,100,,2056,666,19.7,49.3,13.2,1487,592,24.2,35.6,12.6,6941,970,8.5,100,,2959,667,13.7,42.6,7.5,1962,604,18.7,28.3,7.8
03809,60034,1165,1.2,100,,30194,1255,2.5,50.3,1.8,14562,975,4.1,24.3,1.6,22991,979,2.6,100,,11026,897,4.9,48.0,3.3,5214,630,7.3,22.7,2.6,3569,561,9.6,100,,1804,436,14.7,50.5,9.3,907,315.0,21.1,25.4,7.9,14739,763,3.1,100,,6771,719,6.5,45.9,4.3,3038,480,9.6,20.6,3.1,17715,975,3.3,100,,10023,880,5.3,56.6,3.9,5260,699,8.1,29.7,3.6,60895,1192,1.2,100,,33038,1416,2.6,54.3,2.1,14773,1426,5.9,24.3,2.3,22810,1080,2.9,100,,10864,1004,5.6,47.6,3.8,4538,764,10.2,19.9,3.2,4819,997,12.6,100,,2841,744,15.9,59.0,9.4,1489,474,19.3,30.9,7.5,13779,992,4.4,100,,7193,862,7.3,52.2,5.0,2850,564,12.0,20.7,3.8,18200,994,3.3,100,,11083,988,5.4,60.9,4.3,5362,820,9.3,29.5,4.2
03810,51536,1183,1.4,100,,21250,1168,3.3,41.2,2.1,10629,932,5.3,20.6,1.7,39221,1294,2.0,100,,14977,1117,4.5,38.2,2.6,6832,728,6.5,17.4,1.8,1305,303,14.1,100,,794,253,19.4,60.8,13.3,510,213.0,25.4,39.1,13.6,2689,484,10.9,100,,1209,296,14.9,45.0,7.5,620,260,25.5,23.1,8.7,7059,890,7.7,100,,3691,589,9.7,52.3,5.1,2390,474,12.1,33.9,5.2,51754,1637,1.9,100,,18976,1377,4.4,36.7,2.4,8307,899,6.6,16.1,1.7,38685,1432,2.3,100,,13258,1086,5.0,34.3,2.5,5743,740,7.8,14.8,1.8,996,406,24.8,100,,444,253,34.6,44.6,17.7,77,83,65.7,7.7,7.7,3680,606,10.0,100,,1590,518,19.8,43.2,12.2,564,296,32.0,15.3,7.6,6956,837,7.3,100,,3138,631,12.2,45.1,7.3,1753,497,17.2,25.2,6.5
